codigo_ibge,unidades_locais_2022,pessoal_ocupado_2022,pessoal_assalariado_2022,salario_medio_sm_2022,salario_medio_reais_2022,unidades_locais_2023,pessoal_ocupado_2023,pessoal_assalariado_2023,salario_medio_sm_2023,salario_medio_reais_2023
4316808,10568,56999,43508,2.8,3343.69,10967,58579,44496,2.7,3579.64
4316907,16266,89765,70399,3.1,3720.85,17176,89461,69093,3.1,4027.62
4316956,303,2179,1820,1.9,2312.74,323,2096,1716,1.9,2501.87
4316972,95,405,323,2.6,3130.29,103,420,331,2.5,3348.55
4317004,325,991,676,1.9,2350.76,297,964,676,1.9,2537.81
4317103,4749,18634,12976,2.0,2396.50,4880,19297,13597,2.0,2605.92
4317202,4986,31460,25091,2.5,3044.19,5321,32096,25189,2.5,3336.35
4317251,102,277,173,2.6,3139.47,104,273,159,2.7,3606.95
4317301,1449,6413,4865,2.2,2668.50,1464,6601,5025,2.2,2857.43
4317400,2477,10799,7852,2.2,2703.19,2550,10971,7903,2.2,2917.61
4317509,5267,25581,19456,2.3,2783.64,5461,25616,19089,2.2,2949.09
4317558,106,403,287,2.1,2555.12,113,410,280,2.1,2703.46
4317608,2464,13206,10265,2.1,2517.38,2559,13449,10393,2.0,2687.53
4317707,405,1497,1106,2.2,2639.81,428,1567,1144,2.1,2797.72
4317756,133,609,482,2.4,2918.78,140,582,447,2.6,3372.63
4317806,828,4223,3249,2.0,2479.53,868,4006,2976,2.0,2667.19
4317905,835,4500,3363,2.3,2765.86,871,4661,3472,2.3,3019.44
4317954,118,360,254,2.4,2880.57,132,379,257,2.5,3342.13
4318002,2782,13528,10612,2.2,2708.09,2893,13723,10663,2.2,2936.15
4318051,249,805,506,2.0,2386.65,256,816,514,1.9,2538.45
4318101,630,2465,1815,2.2,2670.96,661,2481,1793,2.2,2857.42
4318200,1332,6098,4598,2.2,2713.64,1407,6114,4561,2.0,2577.36
4318309,2228,11208,8661,2.2,2646.27,2293,11514,8872,2.2,2895.35
4318408,933,4515,3529,2.2,2659.26,943,4762,3769,2.2,2869.31
4318424,334,965,606,2.0,2363.65,351,1032,657,2.0,2667.03
4318432,189,894,654,2.4,2879.88,211,945,685,2.3,3004.88
4318440,190,618,426,2.1,2539.23,190,617,424,2.0,2648.26
4318457,88,369,298,2.3,2740.89,89,392,317,2.4,3138.77
4318465,117,502,375,2.0,2473.54,121,539,417,2.1,2699.28
4318481,219,1120,865,2.0,2424.18,231,1173,897,2.0,2674.51
4318499,185,1023,830,2.7,3247.91,203,1108,892,2.7,3534.27
4318507,901,7658,6779,2.5,3003.09,936,7211,6322,2.7,3524.53
4318606,489,1957,1387,2.1,2598.00,552,2140,1501,2.1,2762.23
4318614,141,568,410,2.4,2881.72,145,632,475,2.2,2952.70
4318622,238,970,738,2.0,2472.00,250,995,763,1.9,2443.72
4318705,12211,73381,58514,3.2,3858.56,12640,73636,58226,3.2,4215.23
4318804,1711,7512,5509,2.2,2643.35,1748,7617,5530,2.3,3007.32
4318903,1878,8364,6310,2.2,2680.68,1951,8604,6434,2.2,2941.69
4319000,1641,9720,7323,2.6,3092.99,1713,10087,7632,2.6,3398.13
4319109,425,1684,1182,1.9,2354.55,433,1697,1193,2.0,2569.65
4319125,86,387,303,2.6,3191.05,91,371,286,2.9,3815.74
4319158,339,1381,991,2.3,2848.13,352,1460,1050,2.3,3032.49
4319208,160,598,463,2.0,2399.94,161,621,482,1.9,2460.30
4319307,227,883,662,2.2,2719.52,241,937,715,2.2,2895.90
4319356,176,967,757,2.2,2687.14,185,1017,795,2.2,2889.33
4319364,70,330,272,2.3,2750.26,76,336,275,2.1,2796.19
4319372,231,814,540,2.4,2869.85,237,815,555,2.0,2609.94
4319406,737,2797,2015,2.0,2407.34,752,2769,1990,2.0,2671.27
4319505,1542,8906,7036,2.3,2768.28,1609,8965,7013,2.3,2957.90
4319604,1164,4629,3373,2.1,2594.48,1171,4690,3431,2.2,2874.21
4319703,201,652,410,2.2,2642.76,216,737,477,2.2,2923.51
4319711,160,665,487,1.8,2197.21,171,671,485,2.2,2852.44
4319737,64,293,240,2.2,2674.00,62,300,251,2.0,2600.42
4319752,213,893,655,2.3,2781.71,228,896,637,2.3,3031.10
4319802,370,1234,870,2.2,2641.00,384,1323,942,2.2,2847.24
4319901,4962,29994,23573,1.9,2352.08,5287,29862,23073,1.9,2500.75
4320008,5058,28101,22193,2.7,3235.88,5213,27862,21808,2.6,3413.73
4320107,1737,9608,7550,2.3,2792.49,1841,9939,7767,2.3,2991.12
4320206,733,4138,3226,2.1,2578.73,759,5125,4200,2.1,2731.46
4320230,141,497,372,2.1,2601.41,141,491,369,2.2,2826.19
4320263,175,645,439,2.4,2855.85,190,726,511,2.3,2998.04
4320305,345,1421,1043,2.5,3051.25,342,1398,1032,2.4,3210.64
4320321,129,429,313,2.5,3084.59,130,458,339,2.5,3256.27
4320354,223,856,625,2.1,2494.99,253,907,648,2.0,2598.44
4320404,1390,8201,6340,2.4,2966.84,1433,8282,6338,2.3,3051.15
4320453,134,382,226,2.1,2577.94,138,414,254,2.1,2731.73
4320503,318,1039,689,2.4,2909.79,341,1080,701,2.4,3212.79
4320552,254,1084,791,2.5,3041.69,262,1144,842,2.3,3026.69
4320578,76,293,210,2.9,3511.95,85,310,224,2.6,3418.01
4320602,217,745,503,2.2,2658.02,229,819,550,2.1,2801.62
4320651,136,467,314,2.2,2657.37,136,456,298,2.2,2946.24
4320677,318,1187,848,2.4,2870.18,324,1278,916,2.2,2850.15
4320701,939,3985,2794,1.9,2258.44,987,4036,2809,1.9,2497.56
4320800,2081,8714,6257,2.1,2515.97,2173,9308,6738,2.0,2608.47
4320859,276,1230,912,1.7,2036.13,285,1197,868,1.8,2355.97
4320909,1865,12107,9553,2.2,2712.83,1978,12252,9487,2.2,2936.13
4321006,788,3381,2418,2.4,2901.33,812,3350,2386,2.4,3109.73
4321105,801,2773,1887,2.1,2485.71,816,3065,2171,2.1,2712.65
4321204,3524,15654,11243,2.0,2442.29,3613,15591,11105,2.0,2627.32
4321303,1566,7530,5770,2.1,2504.58,1583,7414,5619,2.1,2759.08
4321329,213,700,482,2.0,2468.86,214,717,506,2.1,2706.70
4321352,238,815,585,1.8,2189.28,239,831,608,1.8,2330.25
4321402,903,3847,2867,2.1,2546.18,937,3993,2954,2.1,2813.24
4321436,571,2565,1919,1.9,2256.52,626,2733,2029,1.8,2375.38
4321451,2390,14418,11373,2.2,2715.25,2547,13977,10646,2.2,2846.32
4321469,268,956,684,2.6,3093.71,268,1006,724,2.5,3295.97
4321477,190,636,451,2.1,2569.09,205,654,461,2.1,2808.52
4321493,88,338,266,2.5,3040.06,96,341,257,2.6,3370.29
4321501,3770,14367,10430,2.2,2658.37,3940,14560,10391,2.2,2830.44
4321600,3369,13228,9703,2.1,2517.62,3548,13914,10150,1.6,2130.62
4321626,146,669,514,1.9,2247.15,147,698,539,1.8,2385.89
4321634,191,963,749,2.5,3006.57,194,990,758,2.1,2806.55
4321667,951,4000,2840,1.9,2284.10,990,4183,2982,1.9,2557.72
4321709,1781,9926,7587,1.9,2355.06,1847,9793,7436,1.9,2436.98
4321808,1703,8517,6287,2.3,2775.10,1771,9113,6821,2.2,2916.33
4321832,88,400,311,2.3,2778.84,87,400,317,2.3,3039.78
4321857,265,860,586,2.2,2689.24,288,918,626,2.1,2715.26
4321907,1703,8594,6560,2.2,2684.86,1800,8755,6579,2.0,2689.09
4321956,403,3481,3029,2.0,2465.08,447,3420,2909,2.0,2682.24
4322004,1423,14728,13261,4.4,5366.84,1450,15414,13949,3.9,5187.64
4322103,368,1241,829,2.2,2711.43,379,1305,882,2.1,2786.34
4322152,106,450,363,2.0,2435.45,110,464,372,2.1,2714.79
4322186,75,241,171,2.4,2859.90,84,261,184,2.5,3329.85
4322202,891,3910,3003,2.6,3096.17,943,4104,3133,2.4,3211.97
4322251,361,3708,3277,2.8,3421.68,382,3623,3170,2.7,3568.26
4322301,418,1718,1235,2.3,2847.39,456,1716,1174,2.3,2976.09
4322327,134,623,468,2.1,2569.92,142,645,484,2.2,2844.14
4322343,81,266,211,2.8,3374.33,83,269,211,2.9,3833.42
4322350,92,268,162,2.6,3120.91,93,272,163,2.7,3511.08
4322376,95,312,228,2.2,2713.75,92,333,249,2.1,2748.70
4322400,5687,26599,19993,2.1,2584.43,5861,26812,20056,2.2,2843.30
4322509,3583,21903,17509,2.0,2403.38,3760,22927,18300,2.0,2661.61
4322525,174,552,381,2.2,2690.29,177,589,419,2.3,3021.72
4322533,275,1044,757,2.6,3136.46,282,1056,764,2.5,3329.49
4322541,375,2143,1699,2.1,2511.58,403,2228,1740,2.1,2776.02
4322558,167,623,394,1.7,2091.65,175,622,386,1.7,2237.41
4322608,4166,22435,17527,2.4,2884.29,4382,23092,17974,2.4,3154.49
4322707,1265,6497,4966,2.1,2595.30,1301,6860,5287,2.2,2900.52
4322806,2141,10392,7628,2.5,3086.05,2200,10781,7934,2.6,3351.93
4322855,146,512,327,2.4,2887.35,153,527,331,2.3,3069.89
4322905,284,839,509,2.4,2968.34,292,830,490,2.7,3509.15
4323002,6460,29135,21463,2.4,2891.51,6691,30719,22864,2.4,3117.59
4323101,110,369,278,2.4,2966.08,110,380,289,2.4,3201.73
4323200,233,841,596,2.4,2957.00,241,892,639,2.6,3378.60
4323309,283,1636,1271,2.7,3274.35,311,1763,1361,2.6,3418.42
4323358,97,570,475,2.5,2969.95,103,592,488,2.5,3304.09
4323408,341,2551,2113,2.4,2924.31,366,2638,2185,2.5,3330.26
4323457,150,729,556,2.3,2846.21,156,750,576,2.5,3262.63
4323507,167,630,449,2.1,2556.57,176,658,473,2.1,2712.94
4323606,134,354,207,2.7,3309.80,136,353,198,2.6,3437.16
4323705,160,694,541,2.1,2593.49,172,778,610,2.1,2807.79
4323754,103,409,320,2.2,2713.49,109,426,331,2.3,3063.56
4323770,225,1951,1681,2.3,2776.50,237,1393,1100,2.2,2868.18
4323804,2003,7106,5045,2.5,3007.02,2214,7332,5032,2.6,3433.69
