codigo_ibge,unidades_locais_2022,pessoal_ocupado_2022,pessoal_assalariado_2022,salario_medio_sm_2022,salario_medio_reais_2022,unidades_locais_2023,pessoal_ocupado_2023,pessoal_assalariado_2023,salario_medio_sm_2023,salario_medio_reais_2023
4306809,1965,10595,8022,2.3,2803.49,2081,10541,7818,2.2,2942.17
4306908,1059,3890,2726,2.0,2382.36,1089,4883,3688,2.1,2736.60
4306924,59,227,173,3.0,3671.73,68,242,179,3.0,4003.63
4306932,416,1608,1162,2.3,2742.35,440,2005,1524,2.5,3297.85
4306957,187,530,344,2.3,2758.65,180,561,384,2.3,3001.16
4306973,131,442,308,2.7,3322.80,137,443,301,2.6,3478.08
4307005,9432,51949,39289,2.6,3189.59,9888,54331,40855,2.7,3490.91
4307054,252,832,532,2.1,2553.74,265,880,560,2.2,2896.79
4307104,236,843,623,1.9,2282.21,233,824,603,1.8,2410.75
4307203,235,873,590,1.9,2363.04,256,1017,719,2.0,2599.22
4307302,313,1083,762,2.0,2478.64,324,1156,824,2.1,2732.52
4307401,192,642,458,2.6,3106.02,198,643,448,2.6,3367.51
4307450,109,482,361,2.3,2741.66,108,477,370,2.3,3021.17
4307500,1005,4546,3308,2.6,3198.69,1047,4654,3379,2.5,3332.04
4307559,408,1959,1481,2.8,3338.77,434,2327,1826,2.8,3732.87
4307609,3354,17277,12965,2.2,2653.72,3544,17459,12853,2.2,2953.55
4307708,4489,24988,19739,2.7,3314.95,4612,25095,19702,2.6,3478.95
4307807,2593,15214,11851,2.3,2837.72,2691,15724,12212,2.3,3068.58
4307815,121,562,451,2.8,3346.70,128,576,461,2.8,3642.60
4307831,137,438,309,2.8,3444.77,152,487,333,2.8,3662.03
4307864,180,791,551,2.3,2751.06,188,844,570,2.3,2963.05
4307906,5292,33315,26515,2.8,3424.43,5528,33694,26494,2.8,3640.15
4308003,498,2279,1515,2.2,2653.53,522,2297,1521,2.1,2810.84
4308052,121,369,249,2.0,2449.43,130,395,257,2.1,2786.40
4308078,260,1007,712,2.0,2390.91,281,1089,781,1.9,2521.77
4308102,1021,5072,3835,2.3,2809.53,1065,5114,3802,2.3,3014.46
4308201,3192,16775,12298,2.6,3201.19,3295,16924,12195,2.7,3518.59
4308250,76,271,199,2.3,2740.65,77,273,196,2.7,3513.34
4308300,473,1779,1234,2.2,2690.47,478,1777,1211,2.3,3039.29
4308409,200,846,669,2.4,2919.13,220,939,744,2.3,3043.85
4308433,103,442,326,1.9,2355.34,109,454,335,2.0,2616.97
4308458,286,970,644,2.5,2986.74,304,982,640,2.4,3094.47
4308508,2728,12756,9293,2.1,2516.49,2922,13179,9405,2.0,2678.58
4308607,3602,20607,15960,2.6,3186.31,3762,21347,16360,2.6,3414.64
4308656,104,375,290,3.9,4727.49,110,388,296,3.5,4610.49
4308706,376,1419,996,2.2,2682.74,385,1384,919,2.3,3010.43
4308805,305,930,649,2.0,2363.75,303,912,638,2.1,2749.54
4308854,101,390,274,2.3,2816.49,108,408,287,2.4,3095.09
4308904,1429,5832,4001,2.3,2826.68,1481,5970,4041,2.3,3083.27
4309001,943,3821,2748,2.2,2714.54,976,3865,2750,2.3,2985.45
4309050,436,2710,2187,2.6,3130.85,451,2801,2254,2.5,3280.85
4309100,5785,28517,21551,2.6,3110.34,6087,29691,22274,2.6,3353.69
4309126,89,299,226,2.5,2972.94,89,316,246,2.7,3498.14
4309159,130,402,272,2.5,2979.55,138,430,298,2.5,3280.69
4309209,12914,69821,54853,2.7,3321.27,13433,72832,57272,2.6,3462.98
4309258,116,342,225,2.1,2583.74,123,354,233,2.2,2848.87
4309308,4333,23743,18736,3.1,3741.99,4474,24571,19453,3.0,3937.43
4309407,2501,12190,8843,2.1,2554.77,2567,12327,8885,2.1,2762.71
4309506,407,1512,1078,2.2,2635.25,414,1577,1108,2.2,2910.62
4309555,353,2008,1578,2.4,2869.79,364,2083,1642,2.4,3132.80
4309571,84,283,210,2.6,3132.90,86,287,213,2.6,3379.99
4309605,1155,8118,6540,3.5,4232.18,1209,7543,5915,3.4,4525.68
4309654,161,2311,2153,2.0,2385.54,164,2224,2072,1.9,2551.80
4309704,263,1062,768,1.9,2343.18,270,1164,870,2.0,2664.13
4309753,156,463,299,2.2,2617.59,148,504,351,2.2,2834.47
4309803,325,1111,703,2.2,2674.86,341,1171,724,2.2,2888.83
4309902,390,1553,1090,2.5,3051.54,422,1575,1088,2.6,3362.14
4309951,161,628,471,2.0,2462.24,166,603,440,2.1,2767.25
4310009,1925,9657,7370,2.6,3177.93,2001,9386,7055,2.6,3478.80
4310108,2576,16487,13374,2.2,2630.16,2731,16619,13352,2.1,2800.06
4310207,6957,33033,24360,2.6,3123.60,7265,34350,25184,2.6,3468.83
4310306,290,1069,704,2.0,2363.86,296,1090,706,2.0,2628.29
4310330,1273,5815,4386,2.0,2406.14,1350,6412,4889,1.9,2482.35
4310363,226,1524,1265,2.6,3160.96,240,1475,1198,2.5,3264.23
4310405,262,1313,1005,2.6,3129.68,285,1352,1042,2.5,3265.58
4310413,97,335,256,2.1,2490.80,104,331,245,2.2,2914.06
4310439,423,1578,1014,2.0,2447.64,432,1651,1074,2.1,2705.61
4310462,127,373,245,2.8,3420.89,132,398,250,2.6,3482.64
4310504,358,1196,815,1.9,2313.72,373,1244,844,1.9,2455.36
4310538,274,1681,1363,2.3,2737.28,296,1752,1419,2.5,3295.39
4310553,122,405,304,2.4,2869.47,128,433,322,2.6,3375.72
4310579,90,273,184,2.6,3111.21,99,305,204,2.5,3303.22
4310603,1596,7736,5986,2.3,2795.12,1646,7933,6158,2.2,2850.45
4310652,111,387,281,2.0,2378.42,117,366,256,2.0,2568.77
4310702,155,447,283,1.1,1365.86,164,453,283,2.2,2830.94
4310751,86,236,160,3.0,3659.05,87,251,167,3.1,4099.77
4310801,1942,11270,8681,2.4,2950.99,2041,11279,8509,2.5,3326.85
4310850,189,622,435,2.0,2414.24,209,649,441,2.0,2658.36
4310876,71,337,274,2.3,2820.19,67,335,274,2.5,3279.81
4310900,237,874,608,2.3,2736.81,232,880,615,2.5,3254.47
4311007,1363,5310,3732,2.0,2456.92,1386,5449,3873,2.0,2688.36
4311106,636,2047,1382,2.2,2614.40,585,1982,1358,2.1,2765.94
4311122,195,808,602,1.9,2246.57,208,851,636,1.8,2423.96
4311130,81,390,314,2.4,2912.44,82,391,316,2.6,3408.05
4311155,294,918,657,2.8,3435.61,298,912,657,2.8,3701.59
4311205,1055,3932,2816,2.5,3075.17,1090,4010,2857,2.5,3251.94
4311239,78,281,208,2.2,2643.42,79,290,215,2.2,2861.26
4311254,138,491,369,2.1,2540.33,147,519,389,2.3,2960.76
4311270,126,429,296,2.7,3219.21,131,440,310,2.7,3513.27
4311304,1875,8059,5779,2.0,2457.71,1972,8200,5803,2.0,2581.03
4311403,9035,51317,39834,2.5,3006.55,9666,52507,40212,2.4,3215.58
4311429,67,324,269,1.9,2337.20,77,351,280,2.0,2637.85
4311502,320,1324,1002,2.1,2592.91,328,1300,980,2.2,2859.62
4311601,195,730,536,2.2,2687.97,200,721,522,2.1,2766.76
4311627,241,2428,2148,2.2,2674.26,251,2411,2134,2.3,3014.90
4311643,92,326,227,2.2,2664.78,93,332,235,2.4,3098.35
4311700,392,1281,854,2.2,2689.09,401,1300,846,2.2,2837.87
4311718,118,509,402,2.4,2967.51,126,552,437,2.9,3750.77
4311734,94,325,243,2.0,2377.15,100,335,248,2.0,2634.00
4311759,261,956,675,2.2,2718.82,276,980,689,2.2,2918.90
4311775,252,1245,971,2.0,2428.04,258,1185,913,2.0,2652.37
4311791,153,562,393,2.2,2674.84,160,540,361,2.1,2699.57
4311809,3246,20221,16051,2.4,2868.84,3426,20819,16389,2.4,3122.37
4311908,451,1200,658,2.3,2741.33,462,1226,657,2.3,3009.24
4311981,179,515,333,2.3,2803.08,178,526,342,2.4,3173.86
4312005,102,409,298,2.3,2754.13,114,439,311,2.4,3150.51
4312054,278,938,621,2.0,2368.41,295,974,655,2.0,2642.70
4312104,237,783,531,2.1,2556.04,242,764,522,1.7,2229.23
4312138,136,490,355,2.2,2704.97,138,483,353,2.3,3084.75
4312153,364,1821,1374,2.0,2447.60,372,1792,1345,2.0,2588.02
4312179,65,245,188,2.5,3024.54,68,253,196,2.5,3265.64
4312203,307,907,562,1.9,2330.15,319,938,576,2.2,2926.85
4312252,299,1418,1105,2.2,2720.19,303,1556,1243,2.2,2836.46
4312302,200,1861,1691,1.7,2076.06,204,1740,1567,1.7,2213.43
4312351,129,447,298,2.7,3268.10,138,490,330,2.8,3644.80
4312377,76,377,310,2.1,2508.33,73,466,394,1.7,2297.57
4312385,166,546,345,2.8,3448.93,192,586,355,2.7,3508.19
4312401,3904,25381,20705,2.9,3555.05,3902,25155,20406,2.9,3796.48
4312427,114,495,385,2.3,2798.49,136,490,358,2.4,3189.67
4312443,163,484,302,2.2,2700.61,171,517,324,2.3,3066.41
4312450,238,1415,1157,2.0,2445.52,256,1444,1168,2.0,2609.74
4312476,378,1890,1415,2.0,2459.53,389,1963,1474,2.1,2723.65
4312500,565,3037,2389,1.7,2105.38,605,3122,2460,1.7,2185.11
4312609,448,2655,2109,1.8,2177.85,444,2814,2279,1.8,2365.68
4312617,126,698,536,2.7,3237.83,134,718,542,2.6,3450.80
4312625,80,322,245,2.1,2503.52,90,388,296,2.0,2605.31
4312658,1265,10853,9323,3.3,3985.60,1348,10892,9256,3.2,4191.66
4312674,111,361,246,2.6,3100.04,126,382,252,2.6,3452.34
4312708,733,3155,2299,2.1,2584.06,778,2989,2096,2.1,2793.68
4312757,249,1516,1209,3.0,3641.68,274,1394,1066,3.0,3923.05
4312807,378,2905,2468,1.9,2344.90,400,2261,1790,2.1,2823.96
4312906,816,5094,4137,2.6,3138.76,852,4906,3878,2.5,3240.19
4312955,122,765,621,2.1,2494.03,141,836,667,2.1,2779.47
4313003,205,820,538,2.3,2802.51,218,871,567,2.3,2993.28
4313011,205,1154,937,2.4,2948.83,215,1147,923,2.4,3119.26
4313037,304,1834,1544,1.7,2068.72,293,1858,1571,1.6,2114.80
4313060,865,8757,7780,1.8,2217.47,930,8558,7488,1.8,2407.77
4313086,195,600,328,2.5,3046.31,203,636,347,2.6,3369.09
