codigo_ibge,vab_total_mil_2019_2021,vab_agro_mil,vab_industria_mil,vab_servicos_mil,vab_adm_publica_mil,pct_agro,pct_industria,pct_servicos,pct_adm_publica,anos_usados
4303905,7888509,6530,3580963,3051127,1249888,0.08,45.39,38.68,15.84,3
4304002,687056,215203,60679,319069,92107,31.32,8.83,46.44,13.41,3
4304101,304596,128865,19318,84916,71497,42.31,6.34,27.88,23.47,3
4304200,2546350,626199,487068,931259,501824,24.59,19.13,36.57,19.71,3
4304309,814481,311592,113396,274361,115132,38.26,13.92,33.69,14.14,3
4304358,4780304,254254,3967154,326080,232816,5.32,82.99,6.82,4.87,3
4304408,3740477,45953,890415,2007031,797077,1.23,23.80,53.66,21.31,3
4304507,3929631,1324548,155505,1543522,906055,33.71,3.96,39.28,23.06,3
4304606,52113992,25444,21465562,25135290,5487695,0.05,41.19,48.23,10.53,3
4304614,164951,91815,4360,26960,41816,55.66,2.64,16.34,25.35,3
4304622,673648,453832,40434,126775,52605,67.37,6.00,18.82,7.81,3
4304630,4840484,8159,784809,2970725,1076792,0.17,16.21,61.37,22.25,3
4304655,1160856,787571,32900,251506,88880,67.84,2.83,21.67,7.66,3
4304663,1811126,277463,485402,601016,447244,15.32,26.80,33.18,24.69,3
4304671,775246,271983,92743,313682,96839,35.08,11.96,40.46,12.49,3
4304689,687285,69320,187843,229152,200971,10.09,27.33,33.34,29.24,3
4304697,252335,128281,18272,39105,66675,50.84,7.24,15.50,26.42,3
4304705,8407173,514628,940352,5935788,1016406,6.12,11.19,70.60,12.09,3
4304713,412449,132498,55869,78475,145607,32.12,13.55,19.03,35.30,3
4304804,7304677,180395,4362478,2246710,515095,2.47,59.72,30.76,7.05,3
4304853,157299,83571,13324,23548,36856,53.13,8.47,14.97,23.43,3
4304903,1503428,350719,314055,677905,160750,23.33,20.89,45.09,10.69,3
4304952,419817,170361,22326,162192,64937,40.58,5.32,38.63,15.47,3
4305009,1272811,607323,48346,460006,157136,47.72,3.80,36.14,12.35,3
4305108,71581648,807566,23873049,38637536,8263497,1.13,33.35,53.98,11.54,3
4305116,272207,147199,10573,53074,61358,54.08,3.88,19.50,22.54,3
4305124,364872,167461,13644,76907,106861,45.90,3.74,21.08,29.29,3
4305132,229425,81000,8829,50744,88852,35.31,3.85,22.12,38.73,3
4305157,180192,91525,4405,31912,52351,50.79,2.44,17.71,29.05,3
4305173,520566,143624,26971,156550,193419,27.59,5.18,30.07,37.16,3
4305207,1800918,187315,186258,1193819,233526,10.40,10.34,66.29,12.97,3
4305306,1571604,776832,111539,516774,166459,49.43,7.10,32.88,10.59,3
4305355,3921266,112492,1856259,1278451,674065,2.87,47.34,32.60,17.19,3
4305371,318196,181193,8293,62644,66066,56.94,2.61,19.69,20.76,3
4305405,799462,528589,29832,160621,80421,66.12,3.73,20.09,10.06,3
4305439,941737,83213,221836,507901,128786,8.84,23.56,53.93,13.68,3
4305447,330714,161889,10800,52387,105639,48.95,3.27,15.84,31.94,3
4305454,944678,50910,67626,485114,341028,5.39,7.16,51.35,36.10,3
4305504,531255,255578,39027,153891,82759,48.11,7.35,28.97,15.58,3
4305587,218664,91133,23927,44962,58643,41.68,10.94,20.56,26.82,3
4305603,660268,379030,27269,179245,74725,57.41,4.13,27.15,11.32,3
4305702,1250707,537928,158650,419575,134554,43.01,12.68,33.55,10.76,3
4305801,1002873,252293,100363,478611,171605,25.16,10.01,47.72,17.11,3
4305835,131600,70662,3758,19047,38135,53.69,2.86,14.47,28.98,3
4305850,411418,248732,15270,88471,58946,60.46,3.71,21.50,14.33,3
4305871,432569,184919,36191,144739,66721,42.75,8.37,33.46,15.42,3
4305900,1058959,539072,43576,341370,134942,50.91,4.11,32.24,12.74,3
4305934,126594,58816,9443,20829,37506,46.46,7.46,16.45,29.63,3
4305959,453854,104421,158883,114019,76532,23.01,35.01,25.12,16.86,3
4305975,804333,536567,44087,147328,76352,66.71,5.48,18.32,9.49,3
4306007,1203319,406690,128492,436879,231257,33.80,10.68,36.31,19.22,3
4306056,660875,290761,37069,189910,143135,44.00,5.61,28.74,21.66,3
4306072,226968,129488,5594,32737,59150,57.05,2.46,14.42,26.06,3
4306106,10069270,1419769,1081738,6546584,1021179,14.10,10.74,65.02,10.14,3
